ORDERNUMBER,SALES,ORDERDATE,PRODUCTLINE,COUNTRY,QUANTITYORDERED,CUSTOMERNAME,STATUS,YEAR,MONTH,QUARTER
10001,61288.06,2020-08-17,commercial trucks,Usa,22,EuroFleet Systems,Resolved,2020,2020-08,2020Q3
10002,63144.11,2020-04-08,semi-trailers,Germany,5,MetroFleet Auto Group,Delivered,2020,2020-04,2020Q2
10003,69323.75,2020-09-07,commercial trucks,France,58,FleetX Logistics Ltd.,Delivered,2020,2020-09,2020Q3
10004,62427.42,2020-02-02,commercial trucks,Usa,54,EuroFleet Systems,Cancelled,2020,2020-02,2020Q1
10005,58800.66,2020-08-13,chassis components,France,76,AutoNation Dealers,Resolved,2020,2020-08,2020Q3
10007,26442.31,2020-12-15,trailers,Germany,62,Velocity Vehicles,Delivered,2020,2020-12,2020Q4
10008,63731.98,2020-09-01,chassis components,Italy,71,EuroFleet Systems,Delivered,2020,2020-09,2020Q3
10009,38417.74,2020-09-17,trailers,Italy,77,EuroFleet Systems,Delivered,2020,2020-09,2020Q3
10010,16399.65,2020-04-16,commercial trucks,Australia,67,DriveTech Distributors,Delivered,2020,2020-04,2020Q2
10011,14109.42,2020-10-22,passenger vehicles,Uk,41,MaxMove Transport,Delivered,2020,2020-10,2020Q4
10012,20922.7,2020-08-11,passenger vehicles,Usa,99,MetroFleet Auto Group,Delivered,2020,2020-08,2020Q3
10013,20571.71,2020-05-29,transmission units,Canada,49,MaxMove Transport,Resolved,2020,2020-05,2020Q2
10014,67303.87,2020-04-30,commercial trucks,France,99,AutoNation Dealers,Cancelled,2020,2020-04,2020Q2
10015,56106.42,2020-07-23,commercial trucks,Uk,28,EuroFleet Systems,Delivered,2020,2020-07,2020Q3
10016,7777.86,2020-11-21,passenger vehicles,Canada,31,EuroFleet Systems,Delivered,2020,2020-11,2020Q4
10017,46662.15,2020-01-20,passenger vehicles,Canada,77,MetroFleet Auto Group,Delivered,2020,2020-01,2020Q1
10018,10980.93,2020-05-08,passenger vehicles,Usa,68,TransGlobal Motors,Resolved,2020,2020-05,2020Q2
10019,41434.11,2020-11-20,engine systems,Japan,85,DriveTech Distributors,Delivered,2020,2020-11,2020Q4
10020,51938.07,2020-06-08,semi-trailers,France,67,AutoNation Dealers,Delivered,2020,2020-06,2020Q2
